,Unnamed: 0,Unnamed: 0.1,X,Y,OBJECTID,METER_ID,VENDOR,PAY_POLICY,PRE_PAY,PARK_NO_PAY,GREEN_DOME,TOW_AWAY,STREET_CLEANING,DIR,BLK_NO,STREET,LOCK_,LOCK__,LONGITUDE,LATITUDE,TRAVEL_DIRECTION,FROM_INTERSECTION,TO_INTERSECTION,SPACE_NUMBER,NUMBEROFSPACES,METER_TYPE,HAS_SENSOR,G_DISTRICT,G_PASSPORT_ZONES,G_PM_ZONE,G_SUBZONE,G_ZONE,BASE_RATE,POLE_MOUNT,YOKE,HOUSING_TYPE,HOUSING_MANUFACTURER,SIDEWALKGE,COIN_SLOTLE,METER_CONDITION,PERMIT_RATE,INSTALLED_ON,PURCHASED_DATE,METER_STATE,SPACE_STATE,text
1860,1522,3662,769662.8645,2954100.439,3663,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,DART,BEACON ST,1.0,,-71.080111,42.353436,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DF,DF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BEACON ST
METER_TYPE：SINGLE-SPACE"
353,1610,5666,771415.4496,2947029.034,5667,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,ALBA,MASSACHUSETTS AV,1.0,,-71.073758,42.334008000000004,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0HA,HA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MASSACHUSETTS AV
METER_TYPE：SINGLE-SPACE"
1333,568,1789,774192.9686,2953085.293,1790,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,W,STUA,WASHINGTON ST,1.0,,-71.06337099999998,42.350588,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CB,CB,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:WASHINGTON ST
METER_TYPE：SINGLE-SPACE"
905,1801,6239,765800.3561,2952819.3710000007,6240,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,RALE,BAY STATE RD,1.0,,-71.09442299999998,42.349971999999994,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0KA,KA,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:BAY STATE RD
METER_TYPE：SINGLE-SPACE"
1289,90,852,776448.2426,2961991.215,853,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,N,FIRS,SIXTH STREET,1.0,,-71.054856,42.374994,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0AG,AG,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SIXTH STREET
METER_TYPE：SINGLE-SPACE"
1273,1774,3824,768038.2408,2952838.1380000007,3825,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,N,GLOU,COMMONWEALTH AV,1.0,,-71.08614399999998,42.349994,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0DF,DF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:COMMONWEALTH AV
METER_TYPE：SINGLE-SPACE"
938,333,2534,773486.1728,2952059.4639999997,2535,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,TREM,MARGINAL RD,1.0,,-71.066005,42.347783,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CF,CF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MARGINAL RD
METER_TYPE：SINGLE-SPACE"
1731,219,733,777593.8879999998,2953023.5069999998,734,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,MELC,SUMMER ST,1.0,,-71.050791,42.35037,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,101.0,,0AF,AF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:SUMMER ST
METER_TYPE：SINGLE-SPACE"
65,1847,2481,773782.5892,2951926.865,2482,,IPS,08:00AM-06:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 06:00PM-24:00AM MON-SAT",,,,S,WASH,MARGINAL RD,1.0,,-71.064911,42.34741500000001,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CF,CF,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:MARGINAL RD
METER_TYPE：SINGLE-SPACE"
1323,1632,2758,772535.2639,2951287.889,2759,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,,,E,E BE,TREMONT ST,1.0,,-71.069537,42.345679,,,,,1.0,SINGLE-SPACE,NO,DISTRICT 0,,,0CG,CG,0.25,,,,,,,,,4/1/2017 1:00,,ACTIVE,ACTIVE,"STREET:TREMONT ST
METER_TYPE：SINGLE-SPACE"
