,X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,address,street,suffix,site,x_longitude,y_latitude,ObjectId
949,-7921659.272000001,5202712.687,40035,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,West Roxbury,23,spring st,,1,-71.16148000000001,42.27799,38295
36089,-7909474.686000001,5217447.285,7843,"Oak, Pin",Quercus palustris,1,12-18in,15.0,--,--,Charlestown,100,9th Street,,3,-71.05202,42.37585,9145
13377,-7915349.016,5204330.2069999995,21547,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,Boston,Mattapan,528,American Legion Highway,,9,-71.10479000000001,42.288740000000004,20661
25578,-7914812.456,5212363.217,11281,"Oak, Northern Red",Quercus rubra,1,6-12in,8.0,--,Boston,Fenway/Longwood,105,Queensberry Street,,4,-71.09997,42.3421,10838
6365,-7911297.76,5218602.823,2738,"Hackberry, Northern",Celtis occidentalis,1,0-3in,2.0,Spring 2023,--,Charlestown,486,Medford Street,,1,-71.0684,42.383520000000004,3473
24672,-7912829.856000001,5201631.433999999,31358,"Elm, American",Ulmus americana,1,6-12in,8.0,--,Boston,Mattapan,10,Leahaven Road,,1,-71.08216,42.27081,31850
18904,-7910277.856000001,5202957.629,17422,Apple/Crabapple,Malus species,1,3-6in,5.0,--,Boston,Dorchester,927,Adams Street,,1,-71.05923,42.27962,17189
25516,-7915172.017999999,5211241.258,24391,"Maple, Red",Acer rubrum,1,6-12in,8.0,--,Boston,Mission Hill,698,Huntington Avenue,,1,-71.1032,42.33465,23761
30317,-7911373.797,5217915.937,5877,"Pagoda Tree, Japanese",Sophora japonica,1,6-12in,11.0,--,--,Charlestown,3,Essex Street,,1,-71.06908,42.37896,6648
18611,-7909899.927,5208972.444,35730,Serviceberry,Amelanchier species,1,3-6in,4.0,--,Boston,Dorchester,17,Buttonwood Street,,1,-71.05584,42.31958,35730
40548,-7910761.094,5206366.118,18523,"Maple, Norway",Acer platanoides,1,18-24in,20.0,--,Boston,Dorchester,242,Westville Street,,1,-71.06358,42.30227,19207
20292,-7919958.0879999995,5202882.1,34356,"Maple, Hedge",Acer campestre,1,3-6in,5.0,--,Boston,West Roxbury,354,Park Street,,2,-71.14619,42.27912,34061
1566,-7914449.554,5204719.958000001,37872,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Mattapan,378,American Legion Highway,-368,1,-71.09671,42.29133,39747
14299,-7910481.0139999995,5205203.3319999995,1700,"Maple, Red",Acer rubrum,1,3-6in,3.0,--,Boston,Dorchester,10,Elm Lawn Street,,1,-71.06106,42.294540000000005,2159
6046,-7910428.694,5213447.352,7898,Ginkgo,Ginkgo biloba,1,0-3in,2.0,--,--,Central Boston,116,Hudson Street,,1,-71.06059,42.3493,9632
39632,-7912559.906,5214089.789,7913,"Linden, Littleleaf",Tilia cordata,1,18-24in,19.0,--,--,Back Bay/Beacon Hill,246,Beacon Street,,1,-71.07973,42.35357,9654
13151,-7911239.1,5215123.955,3112,Honeylocust,Gleditsia triacanthos,1,3-6in,3.0,--,--,Back Bay/Beacon Hill,22,Anderson Street,,2,-71.06787,42.36043,3077
8957,-7915619.522000001,5211908.846,27212,"Maple, Red",Acer rubrum,1,0-3in,2.0,Spring 2022,Boston,Fenway/Longwood,399,Brookline Avenue,,1,-71.10722,42.339079999999996,26121
116,-7910541.127,5215218.865,8882,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,--,Central Boston,100,Cambridge Street,,1,-71.0616,42.361059999999995,8665
31861,-7912353.408,5211801.166999999,28419,"Pagoda Tree, Japanese",Sophora japonica,1,12-18in,12.0,--,Boston,South End,116,West Springfield Street,,2,-71.07788000000001,42.33837,27785
33352,-7907598.953,5216632.848999999,2472,"Pear, Callery",Pyrus calleryana,1,12-18in,13.0,--,--,East Boston,100,Gove Street,,2,-71.03517,42.37045,1433
41462,-7912028.355,5212870.477,28854,"Basswood, American",Tilia americana,1,18-24in,22.0,--,Boston,South End,85,Dartmouth Street,,1,-71.07496,42.34547,29113
21257,-7920906.085,5203065.96,34401,"Coffeetree, Kentucky",Gymnocladus dioicus,1,6-12in,6.0,--,Boston,West Roxbury,23,Maxfield Street,,2,-71.15471,42.28034,34074
18481,-7911600.8889999995,5213538.18,7388,"Pear, Callery",Pyrus calleryana,1,3-6in,4.0,--,--,Back Bay/Beacon Hill,333,Stuart Street,,11,-71.07112,42.3499,7356
32662,-7913720.4120000005,5210229.048,23135,Honeylocust,Gleditsia triacanthos,1,12-18in,13.0,--,Boston,Roxbury,42,Lambert Street,,1,-71.09016,42.32793,24031
19351,-7912710.187000001,5202151.961,21859,"Elm, Valley Forge",Ulmus americana 'Valley Forge',1,3-6in,5.0,--,Boston,Mattapan,72,Woodruff Way,,1,-71.08109,42.27427,20916
29948,-7911913.696,5212047.851,327,"Maple, Norway",Acer platanoides,1,6-12in,11.0,--,Boston,South End,1420,Shawmut Avenue,,4,-71.07393,42.34001,821
36557,-7910000.114,5216308.752,4054,Honeylocust,Gleditsia triacanthos,1,12-18in,16.0,--,--,Central Boston,560,Commercial Street,,1,-71.05674,42.36829,3914
17496,-7912068.43,5206617.477,221,"Linden, Silver",Tilia tomentosa,1,3-6in,4.0,--,Boston,Dorchester,47,Rosseter Street,-49,1,-71.07531999999999,42.303940000000004,715
29579,-7919403.272000001,5203412.325,11609,Honeylocust,Gleditsia triacanthos,1,6-12in,11.0,--,Boston,Roslindale,64,Westbourne Street,,1,-71.14121,42.28264,11282
2571,-7906981.686000001,5217901.471,3492,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,--,East Boston,68,Prescott Street,,1,-71.02962,42.378859999999996,4391
37363,-7908853.522999999,5208947.152,19750,"Planetree, London",Platanus x acerifolia,1,12-18in,16.0,--,Boston,Dorchester,250,Mount Vernon Street,,2,-71.04644,42.31942,17689
7337,-7910818.91,5215785.954,3758,"Hophornbeam, Eastern",Ostrya virginiana,1,0-3in,2.0,Spring 2024,--,Central Boston,150,Lomasney Way,,1,-71.06409000000001,42.36482,2718
37058,-7907842.742000001,5210722.491,25531,"Maple, Norway",Acer platanoides,1,12-18in,16.0,--,Boston,South Boston,365,K Street,,1,-71.03735999999999,42.33121,25450
14827,-7916280.76,5213646.782,26686,"Oak, Pin",Quercus palustris,1,3-6in,3.0,--,Brookline,Allston-Brighton,846,Commonwealth Avenue,,1,-71.11316,42.35062,26402
