Feature 0:
X = 829161.237750, Y = 2245088.486370
X = 829562.014007, Y = 2244825.550060
X = 830272.019180, Y = 2245082.653893
X = 831178.104294, Y = 2245100.021436
X = 831794.551178, Y = 2244245.969646
X = 832714.627222, Y = 2244202.795879
X = 833066.916035, Y = 2243810.461837
X = 834743.199586, Y = 2243619.636402
X = 834751.851275, Y = 2243173.315455
X = 835004.939068, Y = 2242961.743030
X = 835153.953333, Y = 2242849.628818
X = 837198.604363, Y = 2242111.432214
X = 837600.070573, Y = 2242477.824152
X = 839026.599984, Y = 2241687.164140
X = 840032.659672, Y = 2241503.968776
X = 840198.623163, Y = 2240533.029970
X = 840411.394428, Y = 2240428.971875
X = 840760.080505, Y = 2240232.878581
X = 841977.307876, Y = 2240033.644229
X = 842186.160310, Y = 2239483.009546
X = 842057.412988, Y = 2238242.393643
X = 842410.040773, Y = 2237850.204094
X = 843490.688049, Y = 2237140.933451
X = 844149.834870, Y = 2236754.850250
X = 844952.555912, Y = 2236858.766510
X = 846541.392891, Y = 2235341.134043
X = 847556.663782, Y = 2235361.456852
X = 848321.823546, Y = 2234794.954655
X = 849500.500879, Y = 2233999.999268
X = 850364.692571, Y = 2233597.943344
X = 850521.819487, Y = 2233093.672574
X = 851396.667187, Y = 2232800.127236
X = 851854.880887, Y = 2231943.360515
X = 852424.200165, Y = 2231596.304589
X = 854810.143016, Y = 2231157.712493
X = 854918.523843, Y = 2230544.202676
X = 855329.264098, Y = 2230457.868753
X = 855642.050592, Y = 2229537.292418
X = 856348.874165, Y = 2229037.527073
X = 857022.687889, Y = 2228591.236592
X = 858928.299947, Y = 2229469.490705
X = 859882.278223, Y = 2230003.464113
X = 861615.922452, Y = 2229613.142176
X = 862434.662383, Y = 2228967.053598
X = 863398.349801, Y = 2229034.528785
X = 864361.446272, Y = 2228520.099675
X = 865341.076121, Y = 2227830.122091
X = 865538.145355, Y = 2227881.628512
X = 866245.491321, Y = 2227984.470788
X = 866706.675029, Y = 2227635.533675
X = 867110.454350, Y = 2227887.657664
X = 867620.530042, Y = 2227343.528467
X = 868738.747945, Y = 2227062.659837
X = 869767.055785, Y = 2226502.492514
X = 871071.801501, Y = 2226773.866680
X = 872450.354192, Y = 2225984.448388
X = 873318.415077, Y = 2226050.402259
X = 874037.030417, Y = 2225334.931837
X = 874904.429322, Y = 2224839.240746
X = 876076.609700, Y = 2224444.902278
X = 876380.346913, Y = 2224295.802085
X = 876740.587347, Y = 2224195.300557
X = 876995.443425, Y = 2223645.861117
X = 877562.622189, Y = 2223143.785985
X = 879086.550540, Y = 2222757.232899
X = 879605.043250, Y = 2222145.865063
X = 879805.552993, Y = 2222041.941804
X = 880058.233857, Y = 2221891.781254
X = 880519.748160, Y = 2221549.905577
X = 882301.253678, Y = 2221094.761230
X = 883163.221491, Y = 2221161.030315
X = 883724.138465, Y = 2220665.738607
X = 883776.321878, Y = 2220619.508297
X = 884137.745736, Y = 2220471.785990
X = 885706.898593, Y = 2220086.732396
X = 886391.424358, Y = 2218924.173437
X = 887145.279834, Y = 2218967.925875
X = 889036.486019, Y = 2217920.186252
X = 889750.766123, Y = 2217733.032847
X = 889995.107527, Y = 2217677.562032
X = 890610.023406, Y = 2217643.902489
X = 892088.875083, Y = 2216742.907252
X = 892968.242015, Y = 2215476.567353
X = 893993.475102, Y = 2215127.318979
X = 894806.038578, Y = 2214279.199864
X = 895925.959123, Y = 2213993.097841
X = 897771.417977, Y = 2213039.832550
X = 898595.955282, Y = 2211677.652776
X = 898956.653301, Y = 2211577.544521
X = 901201.379514, Y = 2210538.867496
X = 903467.640678, Y = 2208018.402550
X = 904432.260730, Y = 2207553.164122
X = 904886.752431, Y = 2207834.408495
X = 905472.151552, Y = 2206047.182766
X = 905884.221543, Y = 2205948.369899
